big,´ó
central,ÖÐ
eastern,¶«/¶«²¿
grand,´ó
great,´ó
greater,´ó
little,Ð¡
lower,ÏÂ
new,ÐÂ
northern,±±/±±²¿
old,¾É
outer,Íâ
southern,ÄÏ/ÄÏ²¿
upper,ÉÏ
western,Î÷/Î÷²¿
